Code System,Economic Misinformation,Environmental Misinformation,Health Misinformation,Policy and regulation ,Sensory attributes,Ethical considerations ,Environmental concerns ,Economic barriers ,Safety and health concerns ,Economic opportunities,Inclusive dietary options,Food security ,Health benefits ,Animal welfare,Environmental opportunities ,News,Advertising,Entertainment,Informational,Negative ,Slightly Negative,Neutral,Slightly Positive ,Positive
Economic Misinformation,0,0,1,2,0,0,0,9,0,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0
Environmental Misinformation,0,0,0,1,0,0,3,2,0,0,2,0,0,11,2,0,0,0,2,1,0,0,0,3
Health Misinformation,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Policy and regulation ,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,1,1,0,1,0,0
Sensory attributes,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,10
Ethical considerations ,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
Environmental concerns ,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Economic barriers ,9,2,1,2,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0
Safety and health concerns ,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
Economic opportunities,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Inclusive dietary options,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,1,1,0,0,3
Food security ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
Health benefits ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1
Animal welfare,1,11,0,0,0,1,0,1,0,1,4,1,1,0,8,1,0,0,5,1,0,0,0,7
Environmental opportunities ,0,2,0,0,1,0,0,0,1,0,4,1,2,8,0,1,0,0,2,0,0,0,0,5
News,0,0,0,6,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Advertising,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Entertainment,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Informational,0,2,0,1,0,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,2
Negative ,4,1,4,1,0,3,1,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Slightly Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neutral,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slightly Positive ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,0,3,0,0,10,0,0,0,0,1,3,1,1,7,5,0,0,0,2,0,0,0,0,0
