Code System,Frequency
Code System,597
Economic Misinformation,18
Environmental Misinformation,20
Health Misinformation,12
Policy and regulation ,65
Sensory attributes,33
Ethical considerations ,8
Environmental concerns ,21
Economic barriers ,41
Safety and health concerns ,36
Economic opportunities,25
Inclusive dietary options,25
Food security ,11
Health benefits ,12
Animal welfare,57
Environmental opportunities ,40
News,8
Advertising,11
Entertainment,5
Informational,39
Negative ,48
Slightly Negative,11
Neutral,5
Slightly Positive ,5
Positive,41
