Video #,Date Posted,Duration,Views,Likes,Comments,Hashtags ,Purpose,Themes,Sentiment,Motivations or barriers,Stakeholders,Misinformation? (Y/N),Supported by data? (Y/N) 
1,6/13/2023,1:27,"361,800","31,100",705,"cultivated meat, 3dbioprinting, cultured meat, ad",Advertising/Informative,"sustainability, animal welfare",Positive,"saving water, energy, reducing greenhouse emissions",Steakholder Foods,N,N
2,7/13/2023,0:52,"110,700","2,072",162,"vegan, cultivated meat, labgrownmeat, try, plantbased",Entertainment,"vegan/vegetarian, animal welfare, taste",Positive,taste,Vegans,N,N
3,4/3/2023,1:29,"130,700","17,100",426,"vegetarian, meateater, labgrown, pork, cultivatedmeat",Entertainment/Advertising,"vegan/vegetarian, animal welfare ",Positive,"slaughter-free, taste",Paul Bevan (CEO of Magic Valley),N,N
4,4/5/2024,0:59,"30,000","1,934",144,"labgrown, tastetesting, cultivated meat, fyp",Entertainment/Advertising,taste,Positive,taste,Upside Foods ,N,N
5,9/14/2023,1:00,"887,300","59,200","4,062",,Entertainment,"health, sustainability ",Negative,"""not real"" , gut damage, autoimmune disease ",health content creators ,Y,Y
6,3/14/2024,1:14,,"2,776",376,,News,"politics, economics",Neutral ,"safety, state laws, price","Cattle ranchers, USDA, FDA ",N,N
7,7/11/2024,1:15,"28,900","2,083",203,"npr, meat, animals, science",News,"taste, animal welfare, economics",Positive,"slaughter-free, taste",Farmers,N,N
8,9/25/2023,1:09,"158,000","2,188",277,"labgrownmeat, stemresearch, culturedmeat, itsreal, stemtok",Informative,"taste, safety, animal welfare",Positive,"taste, cruelty-free, same meat",,N,N
9,6/22/2023,1:12,"16,900","1,454",134,,Entertainment ,"safety, animal welfare, vegan",Negative,"immortalized cell lines, cancer","USDA, Bill Gates, vegans",Y,Unclear 
10,5/7/2024,0:40,"12,600",486,87,"florida, rondesantis, meats, cultivatedmeat",News/Entertainment,"politics, taste",Positive,"taste, ""real"" meat",Ron DeSeSantis,N,N 
11,7/27/2024,2:56,"61,500","9,908",422,"science, stem, scienceeducation, labgrownmeat, cultivated meat, microbiology",Informative,safety,Neutral ,,microbiologists,N,N
12,9/7/2022,6:18,"17,700",142,8,,Informative,"sustainability, taste, animal welfare, vegan",Neutral / Positive leaning,,"Primeval Foods, Supermeat",,
13,3/21/2023,0:18,"3,600",232,19,"cultivatedmeat, labgrownmeat, goodmeat",Informative,"politics, economics",Neutral,,"José Andrés, GOOD Meat",N,N
14,11/21/2023,0:51,"2,800",106,9,"labgrownmeat, labgrown, labgrownchicken, cellularagriculture, foodsystem, sustainability",Informative,"sustainability, animal welfare",Positive leaning,"ethical, sustainable, slaughter-free",,N,N
15,7/1/2024,0:48,690,10,1,,Interview,"sustainability, animal welfare",Positive,,Magic Valley Foods ,N,N
16,9/28/2024,1:05,250,3,0,"cultivatedmeat, foodtech, futureoffood, innovations, meatrevolution, foodsustainability",Interview,economics,Positive,"food technology, bioreactors",Academics,N,N
